package_name,package_title,resource_name,resource_format,columns,has_example_row,description
qz_borkenkaefer,Borkenkäfer Quarantänezonen,WFS (GML),xml,50,True,Borkenkäfer Quarantänezonen
qz_borkenkaefer,Borkenkäfer Quarantänezonen,WFS (CSV),csv,11,True,Borkenkäfer Quarantänezonen
rad_rsp_rad_freig_einbahn,Radlstadtplan (Radfahren entgegen Einbahnstraße erlaubt),WFS (CSV),csv,10,True,Radlstadtplan (Radfahren entgegen Einbahnstraße erlaubt)
rad_rsp_rad_freig_einbahn,Radlstadtplan (Radfahren entgegen Einbahnstraße erlaubt),WFS (GML),xml,38,True,Radlstadtplan (Radfahren entgegen Einbahnstraße erlaubt)
rad_rsp_rad_freig_einbahn,Radlstadtplan (Radfahren entgegen Einbahnstraße erlaubt),Metadaten (XML),xml,368,True,Radlstadtplan (Radfahren entgegen Einbahnstraße erlaubt)
baden_isar_opendata,Baden in der Isar,Metadaten (XML),xml,20,True,Baden in der Isar
baden_isar_opendata,Baden in der Isar,WFS (GML),xml,41,True,Baden in der Isar
stadtplan,Amtlicher Stadtplan der Landeshauptstadt München,Metadaten (XML),xml,22,True,Amtlicher Stadtplan der Landeshauptstadt München
gefahrenstellen_isar_opendata,Gefahrenstellen,Metadaten (XML),xml,20,True,Gefahrenstellen
gefahrenstellen_isar_opendata,Gefahrenstellen,WFS (GML),xml,36,True,Gefahrenstellen
gefahrenstellen_isar_opendata,Gefahrenstellen,WFS (CSV),csv,7,True,Gefahrenstellen
graustufenstadtplan_2024_geometrie,Radlstadtplan (Graustufenstadtplan Geometrie),Metadaten (XML),xml,20,True,Radlstadtplan (Graustufenstadtplan Geometrie)
bootfahren_isar_opendata,Bootfahren in der Isar,Metadaten (XML),xml,20,True,Bootfahren in der Isar
bootfahren_isar_opendata,Bootfahren in der Isar,WFS (GML),xml,41,True,Bootfahren in der Isar
rad_rsp_tempo30zone_poly,Radlstadtplan (Verkehrsberuhigter Bereich / Tempo-30-Zone),WFS (CSV),csv,11,True,Radlstadtplan (Verkehrsberuhigter Bereich / Tempo-30-Zone)
rad_rsp_tempo30zone_poly,Radlstadtplan (Verkehrsberuhigter Bereich / Tempo-30-Zone),WFS (GML),xml,41,True,Radlstadtplan (Verkehrsberuhigter Bereich / Tempo-30-Zone)
rad_rsp_tempo30zone_poly,Radlstadtplan (Verkehrsberuhigter Bereich / Tempo-30-Zone),Metadaten (XML),xml,20,True,Radlstadtplan (Verkehrsberuhigter Bereich / Tempo-30-Zone)
baustellen_4_weeks_opendata,"Baustellen - Temporäre Einschränkungen beim Gehen, Fahren und Parken (Opendata)",Metadaten (XML),xml,20,True,"Baustellen - Temporäre Einschränkungen beim Gehen, Fahren und Parken (Opendata)"
baustellen_4_weeks_opendata,"Baustellen - Temporäre Einschränkungen beim Gehen, Fahren und Parken (Opendata)",WFS (GML),xml,70,True,"Baustellen - Temporäre Einschränkungen beim Gehen, Fahren und Parken (Opendata)"
baustellen_4_weeks_opendata,"Baustellen - Temporäre Einschränkungen beim Gehen, Fahren und Parken (Opendata)",WFS (CSV),csv,12,True,"Baustellen - Temporäre Einschränkungen beim Gehen, Fahren und Parken (Opendata)"
erhalt_umgriff,Gebiete mit Erhaltungssatzungen in der Landeshauptstadt München,Metadaten (XML),xml,376,True,Gebiete mit Erhaltungssatzungen in der Landeshauptstadt München
vagrund_baug_umgriff_opendata,"Flächen von Bebauungsplänen, Bebauungsplänen in Aufstellung, Außenbereichssatzungen und Umlegungsgebieten",Metadaten (XML),xml,22,True,"Flächen von Bebauungsplänen, Bebauungsplänen in Aufstellung, Außenbereichssatzungen und Umlegungsgebieten"
vagrund_baug_umgriff_opendata,"Flächen von Bebauungsplänen, Bebauungsplänen in Aufstellung, Außenbereichssatzungen und Umlegungsgebieten",WFS (GML),xml,32,True,"Flächen von Bebauungsplänen, Bebauungsplänen in Aufstellung, Außenbereichssatzungen und Umlegungsgebieten"
vagrund_baug_umgriff_opendata,"Flächen von Bebauungsplänen, Bebauungsplänen in Aufstellung, Außenbereichssatzungen und Umlegungsgebieten",WFS (CSV),csv,5,True,"Flächen von Bebauungsplänen, Bebauungsplänen in Aufstellung, Außenbereichssatzungen und Umlegungsgebieten"
vablock_viertel_opendata,Stadtviertel München,WFS (CSV),csv,7,True,Stadtviertel München
vablock_viertel_opendata,Stadtviertel München,WFS (GML),xml,33,True,Stadtviertel München
vablock_viertel_opendata,Stadtviertel München,Metadaten (XML),xml,376,True,Stadtviertel München
rad_rsp_fahrradstrasse_poly,Radlstadtplan (Fahrradstraßen),WFS (CSV),csv,11,True,Radlstadtplan (Fahrradstraßen)
rad_rsp_fahrradstrasse_poly,Radlstadtplan (Fahrradstraßen),WFS (GML),xml,36,True,Radlstadtplan (Fahrradstraßen)
rad_rsp_fahrradstrasse_poly,Radlstadtplan (Fahrradstraßen),Metadaten (XML),xml,20,True,Radlstadtplan (Fahrradstraßen)
rad_rsp_fussg_zone_2024,Radlstadtplan (Fußgängerzone),WFS (GML),xml,53,True,Radlstadtplan (Fußgängerzone)
rad_rsp_fussg_zone_2024,Radlstadtplan (Fußgängerzone),Metadaten (XML),xml,20,True,Radlstadtplan (Fußgängerzone)
vablock_stadtbezirke_opendata,Stadtbezirke,WFS (GML),xml,27,True,Stadtbezirke
vablock_stadtbezirke_opendata,Stadtbezirke,WFS (CSV),csv,5,True,Stadtbezirke
vablock_stadtbezirke_opendata,Stadtbezirke,Metadaten (XML),xml,22,True,Stadtbezirke
g_fnp,Digitaler Flächennutzungsplan mit integrierter Landschaftsplanung der Landeshauptstadt München,Metadaten (XML),xml,394,True,Digitaler Flächennutzungsplan mit integrierter Landschaftsplanung der Landeshauptstadt München
vagrund_hoeh_symbol_opendata,Lage der Höhenfestpunkte innerhalb der Landeshauptstadt München,WFS (GML),xml,24,True,Lage der Höhenfestpunkte innerhalb der Landeshauptstadt München
vagrund_hoeh_symbol_opendata,Lage der Höhenfestpunkte innerhalb der Landeshauptstadt München,WFS (CSV),csv,4,True,Lage der Höhenfestpunkte innerhalb der Landeshauptstadt München
vagrund_hoeh_symbol_opendata,Lage der Höhenfestpunkte innerhalb der Landeshauptstadt München,Metadaten (XML),xml,22,True,Lage der Höhenfestpunkte innerhalb der Landeshauptstadt München
g_stadtkarte_wms,Digitale Stadtkarte der Landeshauptstadt München (ab Maßstab 1:7500),Metadaten (XML),xml,20,True,Digitale Stadtkarte der Landeshauptstadt München (ab Maßstab 1:7500)
vablock_bezirksteil_opendata,Bezirksteil,WFS (CSV),csv,4,True,Bezirksteil
vablock_bezirksteil_opendata,Bezirksteil,WFS (GML),xml,24,True,Bezirksteil
vablock_bezirksteil_opendata,Bezirksteil,Metadaten (XML),xml,376,True,Bezirksteil
luftbild,Aktuelle Luftbilder der Landeshauptstadt München Bodenauflösung 20cm,Metadaten (XML),xml,22,True,Aktuelle Luftbilder der Landeshauptstadt München Bodenauflösung 20cm
adressen_opendata,Münchner Adressen,Adressen,txt,4,True,Münchner Adressen
